code,lang,lto,nodes,ranks,scaling,style,rep,metric
pic,c,0,1,20,weak,SINUSOIDAL,1,123.967625
pic,c,1,1,20,weak,SINUSOIDAL,1,130.748027
pic,rust,0,1,20,weak,SINUSOIDAL,1,103.175151
pic,rust,1,1,20,weak,SINUSOIDAL,1,98.635929
pic,c,0,1,20,weak,SINUSOIDAL,2,126.371853
pic,c,1,1,20,weak,SINUSOIDAL,2,129.716688
pic,rust,0,1,20,weak,SINUSOIDAL,2,101.445673
pic,rust,1,1,20,weak,SINUSOIDAL,2,98.898492
pic,c,0,1,20,weak,SINUSOIDAL,3,126.541821
pic,c,1,1,20,weak,SINUSOIDAL,3,131.041554
pic,rust,0,1,20,weak,SINUSOIDAL,3,99.890711
pic,rust,1,1,20,weak,SINUSOIDAL,3,102.038471
pic,c,0,1,20,weak,SINUSOIDAL,4,124.027363
pic,c,1,1,20,weak,SINUSOIDAL,4,131.52466
pic,rust,0,1,20,weak,SINUSOIDAL,4,102.52164
pic,rust,1,1,20,weak,SINUSOIDAL,4,102.425466
pic,c,0,1,20,weak,SINUSOIDAL,5,123.548913
pic,c,1,1,20,weak,SINUSOIDAL,5,131.171229
pic,rust,0,1,20,weak,SINUSOIDAL,5,101.832898
pic,rust,1,1,20,weak,SINUSOIDAL,5,101.654096
pic,c,0,1,20,weak,SINUSOIDAL,6,126.441095
pic,c,1,1,20,weak,SINUSOIDAL,6,131.515677
pic,rust,0,1,20,weak,SINUSOIDAL,6,100.970173
pic,rust,1,1,20,weak,SINUSOIDAL,6,99.859215
pic,c,0,1,20,weak,SINUSOIDAL,7,126.788522
pic,c,1,1,20,weak,SINUSOIDAL,7,130.560353
pic,rust,0,1,20,weak,SINUSOIDAL,7,102.556284
pic,rust,1,1,20,weak,SINUSOIDAL,7,103.486132
pic,c,0,1,20,weak,SINUSOIDAL,8,126.341777
pic,c,1,1,20,weak,SINUSOIDAL,8,129.9619
pic,rust,0,1,20,weak,SINUSOIDAL,8,101.009865
pic,rust,1,1,20,weak,SINUSOIDAL,8,102.684009
pic,c,0,1,20,weak,SINUSOIDAL,9,126.212286
pic,c,1,1,20,weak,SINUSOIDAL,9,131.32521
pic,rust,0,1,20,weak,SINUSOIDAL,9,102.899496
pic,rust,1,1,20,weak,SINUSOIDAL,9,103.01596
pic,c,0,2,40,strong,GEOMETRIC,0,122.748616
pic,c,1,2,40,strong,GEOMETRIC,0,123.520206
pic,rust,0,2,40,strong,GEOMETRIC,0,118.095796
pic,rust,1,2,40,strong,GEOMETRIC,0,121.656586
pic,c,0,2,40,strong,GEOMETRIC,1,122.79139
pic,c,1,2,40,strong,GEOMETRIC,1,123.256382
pic,rust,0,2,40,strong,GEOMETRIC,1,116.895961
pic,rust,1,2,40,strong,GEOMETRIC,1,112.678508
pic,c,0,2,40,strong,GEOMETRIC,2,122.717696
pic,c,1,2,40,strong,GEOMETRIC,2,124.541985
pic,rust,0,2,40,strong,GEOMETRIC,2,115.614309
pic,rust,1,2,40,strong,GEOMETRIC,2,124.274715
pic,c,0,2,40,strong,GEOMETRIC,3,122.662542
pic,c,1,2,40,strong,GEOMETRIC,3,113.912477
pic,rust,0,2,40,strong,GEOMETRIC,3,120.570926
pic,rust,1,2,40,strong,GEOMETRIC,3,123.1807
pic,c,0,2,40,strong,GEOMETRIC,4,122.536913
pic,c,1,2,40,strong,GEOMETRIC,4,126.160078
pic,rust,0,2,40,strong,GEOMETRIC,4,123.776007
pic,rust,1,2,40,strong,GEOMETRIC,4,122.837505
pic,c,0,2,40,strong,GEOMETRIC,5,117.269253
pic,c,1,2,40,strong,GEOMETRIC,5,126.952484
pic,rust,0,2,40,strong,GEOMETRIC,5,112.063297
pic,rust,1,2,40,strong,GEOMETRIC,5,124.075803
pic,c,0,2,40,strong,GEOMETRIC,6,122.655933
pic,c,1,2,40,strong,GEOMETRIC,6,126.379064
pic,rust,0,2,40,strong,GEOMETRIC,6,118.311481
pic,rust,1,2,40,strong,GEOMETRIC,6,122.740261
pic,c,0,2,40,strong,GEOMETRIC,7,122.270816
pic,c,1,2,40,strong,GEOMETRIC,7,114.420876
pic,rust,0,2,40,strong,GEOMETRIC,7,121.114504
pic,rust,1,2,40,strong,GEOMETRIC,7,122.712003
pic,c,0,2,40,strong,GEOMETRIC,8,117.350946
pic,c,1,2,40,strong,GEOMETRIC,8,113.449866
pic,rust,0,2,40,strong,GEOMETRIC,8,121.251249
pic,rust,1,2,40,strong,GEOMETRIC,8,117.620039
pic,c,0,2,40,strong,GEOMETRIC,9,122.70751
